survey_id,member_id,survey_date,awareness_level,satisfaction_score,trust_level,comments
58,117,2025-02-27,Low,7,Low,Citizen source upon your focus course consumer follow with least.
59,20,2024-11-26,High,2,Low,Else cover begin section choice religious share fast.
60,11,2025-01-30,Low,9,Low,Range street trade black act hope sense sense ok reflect contain writer.
61,81,2024-08-14,Low,8,High,Three catch station pull part read personal art certainly stop sell themselves.
62,71,2025-04-07,Low,10,Medium,Loss source magazine while child author any job bad keep lawyer song.
63,115,2024-12-03,Low,4,Low,Huge town seven play detail lay far boy mean.
64,84,2024-12-30,High,9,High,Section evening approach line list court today dark discuss.
65,98,2024-05-03,Low,1,Medium,Everything continue major real social share foreign question.
66,23,2024-05-10,High,1,Medium,Able southern letter natural small deal step few here.
67,58,2024-12-01,Medium,1,High,Run win player budget feel hospital.
68,89,2024-05-09,Medium,3,High,Question economic finish catch sort I support figure mind economy camera else.
69,162,2025-01-24,Medium,1,Low,Mention check house according speech act decide plan cut put.
70,54,2024-10-06,Low,1,Low,Attention campaign should development fine state.
71,85,2024-10-07,Medium,7,High,Experience according loss coach around chance walk family health statement contain long material various.
72,69,2024-10-10,Low,9,High,Girl couple available heart crime eye.
73,70,2024-09-01,Medium,5,Low,Really send develop brother lawyer develop quickly far there trip pressure since.
74,170,2024-10-15,High,1,Low,Threat cut usually kind people since give deal enjoy car.
75,86,2024-12-25,Medium,5,High,Peace better center recently throw song care community minute.
76,199,2024-08-14,High,2,High,Must smile financial town number most.
77,38,2025-01-06,High,8,Low,Ever gun prevent gun building base image sister fear something window travel fast.
78,116,2024-08-10,Low,9,High,It list me possible know case hospital staff term.
79,186,2025-01-19,Medium,6,High,Not page thing feel language walk continue charge people since.
80,31,2025-01-21,Medium,1,High,Fast big official enough nation government nor day interesting manager choose sport card.
81,72,2025-01-19,Low,8,High,Local less beyond money go later letter bad sign huge.
82,159,2024-08-27,Low,1,Medium,Reach prepare year data when director role bank center.
83,66,2024-06-24,Medium,10,Low,Already red apply detail drive million former.
84,120,2024-10-14,High,1,Medium,Suddenly mind think chance yeah or role statement.
85,193,2024-07-10,Low,10,High,Small use decide season less relate.
86,78,2024-12-29,High,7,High,There discover such guy sound pick picture fact administration.
87,37,2025-01-26,High,8,High,Social reach test plant family available consider other cultural or degree.
88,96,2024-04-29,Low,1,High,Friend play age western may six simple increase recently indicate station.
89,168,2025-02-28,Low,3,High,Majority write church attack foreign assume month she month main cause trade.
90,103,2024-12-17,Medium,1,Medium,The painting blood conference particularly direction fill until north leg movement.
91,22,2024-05-03,High,5,High,Both then pretty bad ready outside.
92,40,2025-03-18,Low,4,Medium,Table my never catch own pull just sometimes stay participant off especially prevent.
93,38,2024-08-15,Medium,6,Medium,Enter husband consumer subject painting coach organization mouth improve building camera seek.
94,116,2024-07-26,Low,10,Medium,Late mind friend point community though wait he threat decision sell technology.
95,100,2024-12-03,Low,2,Medium,Suddenly lot training garden note attorney go just evening condition value Democrat.
96,151,2024-07-05,Medium,3,High,Ball TV agent level appear police only.
97,52,2025-02-21,Medium,6,High,Success meet resource friend edge sense season different everyone his water.
98,105,2025-03-28,High,4,Medium,Hospital them hour avoid east imagine dark baby.
99,37,2025-04-13,Low,2,Medium,Ask give least exactly station key conference security use.
100,98,2025-04-18,Low,1,Medium,Plan material like now character either argue.
101,119,2025-02-18,Medium,7,High,Somebody table do space scene population right low own instead page.
102,53,2025-03-04,Medium,8,Medium,Hair main under care main hot attention note coach.
103,47,2024-05-08,Medium,5,Low,Remain fund high business individual man everybody.
104,33,2024-12-08,Medium,2,Medium,Discuss writer ago quality prepare seek rate together particular.
105,133,2024-04-29,High,4,High,Tell these activity message him last.
106,16,2024-08-13,Medium,7,Low,Among control section democratic tonight benefit head character marriage look himself.
107,5,2024-06-06,Low,9,High,Late they attack church poor low official.
108,171,2025-01-04,High,1,High,Accept industry one without reduce forward thank spend design.
109,42,2025-02-21,High,4,High,Man ready think of important southern guy baby box common answer trial.
110,156,2024-08-29,High,4,High,Give town art industry strategy agent.
111,10,2024-06-10,High,6,High,Thousand write tend doctor recent culture throughout century teach rise right the.
112,22,2025-03-19,Medium,1,Low,Exactly try help pressure machine build ready even million perhaps dinner ground ok.
113,24,2024-07-16,Low,5,Medium,Very beyond civil no building and event building language particular build.
114,5,2024-12-11,High,10,Medium,Manage reach safe trip open road thus anything sort relationship require down.
115,148,2024-09-11,High,10,Low,Best eat key require drug degree it firm.
116,123,2024-08-28,High,6,High,True consumer per he knowledge pattern.
117,108,2024-11-06,High,3,Low,Unit sign it live people believe soon have part task myself.
118,38,2025-03-20,Medium,9,Medium,Third bad line read generation sport candidate information ready under fact significant.
119,138,2024-11-02,Medium,9,Medium,Education late also heart national fund what herself campaign now.
120,164,2025-01-22,Low,10,Low,Former page meeting threat full size life change most traditional open human.
121,165,2024-12-07,High,8,Medium,Suffer almost company social main military become standard edge camera.
122,179,2024-09-09,Medium,6,Low,Option soldier over change heart training lose listen keep stay ball college artist.
123,79,2024-09-29,Low,3,Low,Add protect type almost get view huge evening.
124,143,2024-06-01,Low,9,Low,Line follow see act growth concern mother ok field.
125,3,2024-07-31,Medium,9,Medium,Choose picture produce agency how safe loss or occur.
126,156,2024-05-05,Medium,3,High,Weight politics student language item four public.
127,58,2024-09-02,Low,1,Medium,Finish sort heart management purpose hundred able write summer visit.
128,185,2025-02-05,Low,1,High,Difficult such executive which which she force region art.
129,57,2024-12-19,Low,6,Low,If finally new discover material PM appear teach.
130,44,2024-05-04,Medium,1,High,Mrs environmental perhaps data test just.
131,3,2025-02-03,Low,1,Low,Indicate trial month above air position.
132,106,2024-11-14,Medium,9,Medium,Personal official similar media professor next policy south picture here kitchen ask administration.
133,48,2024-10-27,Low,8,Low,Issue western even keep style follow me.
134,54,2025-02-01,Medium,9,High,At building level road cultural debate together she science current again whom.
135,2,2024-06-14,High,2,High,Some order feeling able note human become task art majority black newspaper house.
136,179,2025-02-15,Medium,2,Medium,Prepare able explain son artist decision wish list capital allow hundred federal.
137,123,2024-09-05,High,7,High,Accept summer father remember place project world himself partner cell very.
138,179,2024-07-17,High,2,Medium,Few nothing blood mission success many beyond.
139,192,2025-01-05,Medium,2,Low,Prove relationship concern available want night tough say after method.
140,169,2024-10-25,Low,8,High,Manager reason again onto free late.
141,185,2024-04-28,Low,5,Medium,Road politics stand live owner attack campaign own make field.
142,194,2025-01-15,High,4,Low,Radio model fund list late road shoulder.
143,17,2024-12-16,Low,6,High,Industry image debate mouth color we upon finish present tell business.
144,17,2024-07-17,Medium,7,Low,Speech support save teach avoid carry consumer eye author example standard.
145,14,2024-04-28,Medium,4,High,Student herself attack make school good strategy maintain while maintain project.
146,182,2025-01-18,High,5,High,Anyone know black tree artist speak rather occur develop particularly color level.
147,108,2024-08-13,High,1,High,Economy traditional painting pay election boy especially find.
148,120,2025-02-27,Low,10,Medium,Deep north plant just everyone reason final artist.
149,5,2024-07-22,High,3,Low,Piece figure director only property little positive science Mr top send.
150,129,2024-12-25,Medium,7,Medium,Try surface garden high man family early sport meeting instead benefit worker.
151,189,2024-11-05,Medium,4,High,Remain first American establish marriage their collection now exactly time or voice.
152,158,2024-07-08,High,2,Low,Truth world than wish church third raise wear strong strong wait maintain.
153,63,2024-06-18,Low,1,Medium,Along for decision floor same according management fall soon question require girl.
154,38,2024-12-25,Low,3,Medium,Coach hotel must executive ground on.
155,27,2024-09-06,Medium,8,Medium,Safe executive teach if financial rich change professor general require mother bag loss.
156,179,2024-06-05,Medium,6,Low,Feel mind power attention hear benefit song action important remember join against.
157,118,2024-05-15,Medium,4,Medium,Cell allow land deal will set will character.
158,90,2025-03-12,High,7,High,Sort crime many else also visit health of increase expect.
159,99,2024-10-07,High,2,Low,Single player arm article key put.
160,93,2024-09-17,Medium,9,Medium,Base ask particular month yourself get hospital.
161,180,2025-02-18,Medium,7,Low,Reason address environmental create finish Congress easy.
162,180,2024-12-29,Medium,7,Medium,Wall owner billion there eight ten garden.
163,106,2025-02-18,Low,1,High,Become base tax worry her work feel position through.
164,24,2024-12-12,Low,7,Medium,Which paper join around try organization person town.
165,199,2025-03-11,Low,2,Low,Across rate offer full hope future evening which democratic.
166,174,2025-03-07,High,4,Medium,Head service summer film series American though bar area capital girl room.
167,65,2024-10-19,Low,2,High,Laugh hour order note hundred card full despite wait.
168,62,2024-09-15,Medium,10,Medium,Outside drive option material successful through road situation purpose near gun magazine black.
169,86,2024-10-05,Low,1,High,Head keep spring job around later.
170,160,2024-08-06,Medium,2,Low,Hair north every summer economy open example statement identify able.
171,116,2025-01-05,Medium,4,High,Baby seek again method should method education coach effect price fly.
172,81,2024-12-16,High,3,Medium,Eight end marriage with hair him Mr loss choose organization where.
173,54,2024-09-06,Low,3,Medium,Show when care day assume state area box.
174,171,2024-08-04,Low,9,Medium,Too century factor name to practice training leg investment which.
175,74,2024-10-16,Medium,6,High,Approach cost now need sister bank one with society training.
176,61,2024-07-31,Medium,7,High,Today a minute until test community such.
177,86,2024-09-02,Medium,3,Medium,Doctor Mr second music nation anyone hope positive gun.
178,111,2025-02-25,Low,7,Low,Wall candidate concern some rich wear others left detail.
179,19,2025-01-11,Medium,7,Low,Leader herself production throughout thing start certainly music or wind factor suffer.
180,182,2025-02-21,High,9,Medium,Often deal yard contain laugh of.
181,48,2025-01-30,High,9,Low,Notice current study maybe image son start red success suddenly brother us.
182,38,2024-04-29,Medium,8,Low,Small on fast owner participant might brother bill player who general research.
183,111,2025-01-17,Medium,2,Low,Investment send walk third compare evidence whole control foot interesting.
184,24,2024-07-20,High,10,High,After share add way side same happy.
185,174,2024-06-23,Low,8,Medium,Lay build understand unit hundred edge particularly send still.
186,24,2025-03-18,High,3,High,Some memory firm receive mouth spring free night tax tell moment house.
187,47,2024-09-25,Low,3,Medium,Director area soldier itself administration call.
188,109,2024-06-30,High,7,Medium,Now knowledge say thank always show beyond.
189,62,2024-08-08,Medium,5,High,Once page speak heavy see who anything officer ask choose song threat great.
190,155,2024-11-16,Low,10,Low,Off environmental whom meeting research government they lay teacher.
191,31,2024-09-27,Medium,10,High,Fish Congress difference end candidate raise.
192,179,2024-07-31,Low,5,Medium,Us tonight better unit moment democratic.
193,13,2024-10-01,Low,1,Low,Collection ready practice operation would enough up let.
194,141,2024-07-20,Medium,10,Medium,So power election with few recently build buy water picture hold decision police.
195,158,2025-04-18,Low,5,Medium,Door season drop art expert shoulder its example.
196,199,2024-05-10,High,2,Low,Join eight back budget factor minute response.
197,184,2024-11-10,High,4,Medium,Various team down affect must easy.
198,79,2024-12-11,Medium,5,Low,Contain expert energy such especially forward long budget.
199,158,2024-10-24,Low,5,High,Range let every guy sport step task drop forget.
200,21,2024-08-06,High,3,Medium,End student probably include remain such senior social example start they population.
201,133,2025-01-01,High,2,Low,Hard look anything yet interesting evening pick suggest forget base especially usually me western.
202,104,2024-11-12,Medium,3,High,Read people measure certain detail less like training great service court nor.
203,2,2024-11-11,High,3,High,Far picture order wish challenge article write size store research.
204,174,2024-04-30,Medium,5,Medium,As long show traditional blue PM account key tonight life blue of expert.
205,183,2024-09-12,Low,1,Low,Head open yet good food particular according just statement represent message.
206,167,2024-05-04,High,9,Low,Health card Democrat teacher read candidate game continue Mrs family plan.
207,89,2025-03-14,Medium,8,Medium,However drug camera relate order buy law film officer.
208,164,2024-05-20,High,4,Low,Everyone whatever successful rest mention its write office phone manager much expert.
209,38,2024-07-11,Medium,7,Medium,While some store environmental political law cultural of keep although since outside into.
210,78,2024-08-17,Low,8,Medium,Surface production real nothing start answer.
211,165,2024-05-11,Medium,9,Low,Because study ball girl few debate red past it major provide send you.
212,154,2025-01-16,Medium,4,Medium,Natural support bar religious newspaper answer quality check far.
213,69,2024-05-21,Low,5,Low,Hard apply talk blood suggest through star experience point particularly mother.
214,94,2024-06-04,Low,9,High,From name since person six owner across law price goal direction.
215,129,2024-07-28,Low,2,Low,Important population quality put whole model act brother let high design ten.
216,16,2024-11-07,Medium,7,Medium,Home customer magazine likely watch collection week article clear must writer.
217,61,2024-08-08,Medium,10,High,Top cost forward better lead concern soon whole artist friend.
218,176,2024-04-29,High,4,High,Population head unit attorney media any less.
219,42,2024-05-28,High,1,Medium,Town last home few network offer better official remain explain account.
220,134,2025-01-19,Medium,4,High,Team movement theory record identify song care bring later resource ahead.
221,138,2024-10-21,Low,4,Low,Amount edge culture player occur allow machine.
222,12,2024-06-28,High,8,Medium,Far speak organization least deal play fast hospital television cultural create personal few.
223,44,2024-08-13,Low,4,Low,Significant catch side probably police song yes evidence dream six while.
224,118,2024-12-09,High,6,High,However yes decade piece visit amount land standard.
225,81,2024-09-15,Low,4,Low,New store kind surface central ago anything better life coach surface better sometimes.
226,88,2024-11-19,Low,4,Medium,Suddenly writer fear discuss according land discuss to drive write sense resource box.
227,100,2025-01-23,High,2,Low,Become drop recognize knowledge large growth college force situation end.
228,158,2024-12-10,Medium,2,High,Five increase affect source these ahead talk feel.
229,200,2024-10-17,Low,1,High,Western young scientist president argue reach into.
230,129,2025-03-02,Low,2,Medium,Across page particularly huge mother teacher check result determine start.
231,154,2025-01-29,Medium,8,High,Quite common institution the nation indicate return foot.
232,70,2024-06-13,High,6,Medium,Majority interest key join offer pick international itself light read mean.
233,28,2024-10-02,High,5,High,Report since country hear anyone race from director tax feeling evening.
234,4,2025-03-01,Medium,6,Medium,Meeting production we drive job film necessary too a authority imagine.
235,34,2025-01-21,Low,9,High,Participant their national parent air suddenly.
236,174,2024-08-30,Low,10,Medium,Quickly face purpose decide main fine better sea.
237,93,2024-07-12,Low,6,Low,Modern college fire happen present technology against guy gas despite effect friend.
238,55,2024-05-13,Low,1,High,Road do ago culture last cover feel drop chair itself reduce.
239,198,2024-06-21,Low,6,High,Series your arm tax born nor mouth center deal.
240,189,2024-06-04,High,3,Medium,Which beat start stuff window senior know just.
241,95,2025-02-07,Medium,10,High,Occur figure few Mr sing rich data produce themselves.
242,35,2024-08-30,Low,10,High,Trial believe significant executive TV last finally station capital left task.
243,171,2025-03-27,Low,6,High,Soon around market total seek huge.
244,71,2024-09-05,Medium,9,Medium,Use executive experience pick hold project she data general together attack.
245,5,2024-06-03,Low,7,High,Official phone between happen plant while reduce expect hotel.
246,122,2025-04-10,High,6,High,Admit these speak short various defense a himself anyone that enough force politics.
247,174,2024-06-15,Low,8,Low,Against look to rate guy capital level this issue call turn.
248,128,2024-05-22,High,8,High,Return Mrs human create several teach.
249,81,2024-05-23,Low,2,Medium,Draw good safe quickly plant design tend analysis international whose.
250,159,2025-04-02,Medium,4,Medium,Not good machine rule thank tax politics business do avoid black mouth.
251,59,2024-07-28,Medium,1,High,Interest trial attack speak writer fish hospital future minute second past goal century.
252,150,2024-10-27,Low,4,High,Per catch memory official must page lose week culture expect.
253,160,2024-07-15,Low,7,Low,Nice party she talk from suddenly approach ask anyone weight spend plant.
254,167,2024-09-06,Low,10,Medium,Sometimes southern account water amount station watch happy glass.
255,52,2024-11-15,Low,5,Medium,Capital treatment tell create use many strong explain economy interesting rich firm.
256,97,2025-01-06,Medium,2,Medium,Guess tough trip population early anything state large.
257,185,2024-09-28,High,2,Low,Administration later practice reveal yard popular.
258,106,2024-06-04,Medium,10,High,Big watch ground able agree degree laugh one suffer through light doctor.
259,21,2025-01-20,Low,5,Medium,Avoid available cup across build actually crime sometimes off method good career.
260,150,2024-12-09,Medium,7,Medium,Alone rich player space crime together unit charge still traditional.
261,15,2024-06-04,Low,10,High,Least bed senior candidate budget ago try big somebody thought wonder.
262,37,2025-02-09,Medium,1,High,Move keep point clear shake source as.
263,66,2024-09-16,Medium,5,Medium,Admit tree put camera school various she natural administration.
264,184,2024-12-01,Low,2,Medium,Skin interest affect notice thousand activity necessary.
265,168,2024-08-28,Medium,5,High,Law song way age for real society early whole vote teach wrong court measure.
266,149,2024-06-10,Low,3,High,Learn course small piece large instead bad national page.
267,184,2024-08-28,High,4,Medium,Discussion like significant war way throughout test enjoy someone shoulder establish including.
268,41,2024-10-03,Medium,8,Low,Plant choice work individual commercial fall commercial of environmental mean try.
269,32,2024-09-29,Low,1,High,Trade religious speak card energy car owner.
270,83,2024-11-13,Low,4,High,Evidence authority fund right serve couple.
271,150,2024-06-02,Low,10,Medium,Focus detail security same office tree president no.
272,177,2024-06-29,High,6,High,News performance kind possible outside include wear direction society himself later near.
273,38,2024-09-21,Medium,10,Low,Anyone similar five down trade director.
274,20,2025-04-20,Medium,9,Medium,Top develop current news who without peace others woman like west question analysis or.
275,6,2024-04-30,High,7,High,News buy image poor run despite pressure.
276,92,2025-04-05,High,1,Low,Account land two shake suddenly defense.
277,190,2024-11-19,High,2,High,Old attorney since important section much easy.
278,17,2024-06-02,Low,9,Medium,Civil little break stuff kid decision number figure site.
279,137,2025-03-31,High,3,Medium,Yeah look travel lawyer traditional director fill training white finish would ago from.
280,4,2025-02-02,Medium,6,High,Thing beyond the security minute source name keep try.
281,180,2025-01-17,Medium,2,Low,Although truth make election ready city.
282,17,2024-07-10,High,7,High,White buy kitchen son free future generation great none box still my prevent.
283,120,2024-06-08,Medium,1,Low,Attorney life professor cell type concern six discover within bank half pass full.
284,89,2025-04-13,Low,8,Medium,Degree already push single value own appear past well dark issue there coach.
285,19,2025-02-25,High,10,Medium,Purpose movie term figure free reason speech democratic while remember commercial more.
286,86,2025-01-15,High,4,Medium,Fast support among within energy play well professional down ever though today follow.
287,37,2024-07-17,High,2,Low,Open benefit significant sister special computer member receive hear word page.
288,135,2024-07-23,High,5,High,Nature effort far information huge product subject perhaps around common check even.
289,49,2024-05-26,High,4,High,Policy black model father to star stay wall check.
290,135,2024-05-30,Low,9,High,Question specific green opportunity ago dream chair lose every leg.
291,70,2024-06-27,Low,10,High,Debate statement medical newspaper letter close current cup.
292,115,2024-08-18,Medium,3,Medium,Pretty really top security management arm.
293,128,2025-01-09,Low,6,Low,Attorney the case box series west keep then explain television.
294,160,2025-01-31,Medium,4,Low,Since deep under happen will we boy indicate result writer think none mission.
295,172,2024-11-19,High,4,Medium,Its into above choice security wife whatever you put item enjoy compare.
296,34,2024-10-14,Low,3,Low,Computer room do training expert find sort list artist activity fund.
297,141,2024-11-16,Low,8,High,Right position herself need oil enough concern exist meeting develop term.
298,106,2024-07-17,Medium,1,Medium,Film floor to drug kind bit writer second check bad politics natural approach.
299,142,2025-04-19,High,9,Medium,Mother trial main beyond rest possible.
300,128,2025-01-27,Medium,2,High,Relate see citizen about point over this establish modern.
